agent,avg,date,feature,floor,guapai,info,price,title
史海杰,42822,2019.05.29,房屋满五年近地铁,低楼层(共28层) 2010年建板楼,挂牌358万成交周期43天,南 | 精装,340万,新城嘉园 2室1厅 79.4平米
马国建,49020,2019.05.29,房屋满五年,中楼层(共11层) 2004年建板楼,挂牌457万成交周期12天,南 北 | 简装,440万,加华印象街 2室1厅 89.76平米
王帅,52279,2019.05.29,房屋满两年近地铁,中楼层(共27层) 2012年建板楼,挂牌485万成交周期24天,南 | 精装,475万,华业东方玫瑰B区 2室1厅 90.86平米
张金璐,44904,2019.05.29,房屋满五年近地铁,中楼层(共13层) 2005年建板塔结合,挂牌450万成交周期99天,南 北 | 精装,433万,时尚街区东区 2室1厅 96.43平米
李思雨,47859,2019.05.29,房屋满五年,底层(共6层) 1995年建板楼,挂牌238万成交周期8天,南 | 精装,228万,云景西里南区 2室1厅 47.64平米
谷训来,47927,2019.06.13,近地铁,中楼层(共5层) 1981年建板楼,挂牌260万成交周期39天,南 | 精装,252万,玉带河西街 2室1厅 52.58平米
杨晓旭,44439,2019.06.13,房屋满五年近地铁,低楼层(共28层) 2012年建板塔结合,挂牌354万成交周期236天,南 | 简装,350万,新城乐居 2室1厅 78.76平米
董大超,49788,2019.06.13,房屋满两年近地铁,中楼层(共27层) 2012年建板楼,挂牌470万成交周期249天,南 北 | 简装,457万,华业东方玫瑰B区 2室1厅 91.79平米
曹锋雷,45292,2019.06.12,房屋满五年近地铁,高楼层(共10层) 2010年建板楼,挂牌360万成交周期16天,东 东南 南 | 精装,340万,8哩岛 2室1厅 75.07平米
杨依民,57962,2019.06.12,房屋满两年,低楼层(共35层) 2014年建塔楼,挂牌545万成交周期64天,西南 | 其他,526万,京贸国际城西区 2室1厅 90.75平米
叶磊,50402,2019.06.12,房屋满两年,底层(共12层) 2005年建板楼,挂牌498万成交周期156天,南 北 | 精装,483万,世纪星城 2室2厅 95.83平米
,45447,2019.06.12,挂牌278万成交周期49天,中楼层(共6层) 1983年建板楼,,南 北 | 精装,270万,新城东里 2室1厅 59.41平米
王禄,43173,2019.06.11,房屋满五年近地铁,高楼层(共6层) 2004年建板楼,挂牌448万成交周期32天,南 北 | 简装,430万,达富雅园 2室2厅 99.6平米
孙捧,43399,2019.06.11,房屋满两年近地铁,中楼层(共6层) 1995年建板楼,挂牌288万成交周期37天,南 北 | 精装,283万,杨庄北街7号院 2室1厅 65.21平米
赵祥,41793,2019.06.11,房屋满五年,低楼层(共6层) 2000年建板楼,挂牌295万成交周期119天,南 北 | 精装,291万,群芳园 2室1厅 69.63平米
尹柱飞,40313,2019.06.10,房屋满五年,中楼层(共18层) 2008年建板塔结合,挂牌370万成交周期3天,南 | 精装,366万,大方居 2室1厅 90.79平米
崔振华,40323,2019.06.10,房屋满五年,中楼层(共22层) 2011年建板楼,挂牌345万成交周期10天,南 | 简装,335万,金隅通和园 2室1厅 83.08平米
高亚迪,51749,2019.06.10,房屋满五年近地铁,顶层(共7层) 2002年建板楼,挂牌306万成交周期44天,南 北 | 精装,299万,翠屏北里西区 2室2厅 57.78平米
汤明月,45728,2019.06.09,房屋满五年,底层(共6层) 2005年建板楼,挂牌430万成交周期50天,南 北 | 简装,411万,新潮嘉园二期 2室1厅 89.88平米
胡亚洲,35063,2019.06.09,房屋满五年,低楼层(共18层) 2010年建板楼,挂牌305万成交周期56天,南 | 精装,294万,融科香雪兰溪 2室1厅 83.85平米
马博博,42425,2019.06.09,房屋满两年,高楼层(共26层) 2007年建塔楼,挂牌450万成交周期557天,南 | 精装,443万,财富东方 2室1厅 104.42平米
谷训来,48987,2019.06.08,房屋满两年近地铁,中楼层(共7层) 2004年建板楼,挂牌466万成交周期56天,南 北 | 精装,440万,新华联家园北区 2室2厅 89.82平米
